"Question","Answer","Instruction"
"How can I print a string in Python?","You can use the print() function. For example: print('Hello, World!')","Generate Python code to print a string."
"What does the 'def' keyword in Python mean?","The 'def' keyword is used to define a function in Python.","Describe the purpose of the 'def' keyword in Python."
"How do I concatenate two strings?","You can use the + operator. For example: 'Hello' + 'World' will produce 'HelloWorld'.","Provide a Python example that concatenates two strings."
"How to get the length of a list in Python?","Use the len() function. For example: len([1, 2, 3]) will return 3.","Demonstrate how to get the length of a list in Python."
"How can I add an item to a list?","You can use the append() method of a list. For example: myList.append('new_item').","Show how to add an item to a Python list."
"What's the difference between a tuple and a list?","In Python, lists are mutable while tuples are immutable. This means you can modify a list, but not a tuple.","Differentiate between a tuple and a list in Python."
"How to check if a value is in a list?","You can use the 'in' keyword. For example: if 'apple' in fruitsList: print('Apple is in the list').","Illustrate how to check for an item's presence in a list."
"How do I create a dictionary in Python?","Use curly braces {}. For example: myDict = {'key1': 'value1', 'key2': 'value2'}.","Guide on creating a dictionary in Python."
"How to iterate over a dictionary?","You can use a for loop. For example: for key, value in myDict.items(): print(key, value).","Provide a method to loop through a dictionary in Python."
"How can I read a file in Python?","Use the open() function with the 'r' mode. For example: with open('filename.txt', 'r') as file: content = file.read().","Explain how to read a file in Python."
"What does 'if __name__ == \"__main__\":' mean?","It's a Python idiom. If a Python script is run, the '__name__' variable is set to '__main__'. This line checks if the script is being run as the main program.","Clarify the purpose of the 'if __name__ == \"__main__\":' statement in Python."
"How to define a class in Python?","Use the 'class' keyword. For example: class MyClass: def __init__(self): self.attribute = 'value'.","Instruct on defining a class in Python."
"How to install a Python library?","You can use pip. For example: pip install library_name.","Detail the steps to install a Python library."
"How to create a virtual environment in Python?","Use the venv module. For example: python3 -m venv myenv.","Describe the process of creating a virtual environment in Python."
"How can I catch exceptions in Python?","Use a try...except block. For example: try: risky_operation() except Exception as e: print('An error occurred:', e).","Demonstrate how to handle exceptions in Python."
